relative_humidity_set_1,wind_speed_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1
24,5,40,241
25,5,39.34,213
25,5,38.48,231
24,4,35.74,214
26,3,35.18,219
35,0,38.33,218
46,0,39.94,9
55,0,41.8,18
60,0,41.25,246
64,0,41.04,181
67,0,40.32,223
69,0,40.13,195
72,1,39.31,202
75,0,39.4,218
75,0,38.43,224
76,0,37.81,185
77,0,38.14,226
73,1,40.63,166
46,2,38.1,163
26,3,34.32,146
19,4,34.94,212
20,5,38.73,235
20,5,40.4,213
19,5.99,39.1,225
20,5,40.4,255
22,4,40.32,233
24,4,41.71,214
25,3,41.05,242
29,3,42.29,221
35,3,43.67,208
45,0,44.86,217
53,0,45.49,4
58,0,45.07,221
64,0,44.84,21
66,0,43.75,180
71,0,44.72,220
73,0,44.49,202
76,0,44.59,241
77,0,43.97,179
79,0,43.68,344
80,0,44.01,343
77,1,45.91,183
51,3,44.47,156
34,2,43.8,156
23,4,42.31,213
19,4,41.59,202
22,5,46.24,221
19,4,43.25,230
18,4,41.03,217
18,3,39.38,222
19,2,37.43,226
24,3,40,240
29,0,39.68,243
49,0,46.19,216
54,0,45.99,33
57,0,44.61,185
58,1,43.19,234
61,0,42.63,218
63,0,41.58,219
64,0,40.08,243
64,0,39.13,221
65,0,38.58,164
66,0,38.98,330
68,0,39.75,206
64,0,41.04,184
44,2,40.62,164
30,2,40.55,86
21,5.99,39.14,221
20,5,40.4,213
19,5,39.93,226
18,5,40.21,226
19,5,39.93,225
21,5,39.14,218
23,3,40.61,219
26,5,41.2,221
29,4,42.29,218
35,3,42.78,220
43,2,43.66,223
52,1,45.92,236
58,0,45.07,226
63,0,45.37,243
66,0,44.7,220
70,0,44.35,212
72,0,44.13,256
74,0,42.92,208
75,0,42.31,239
76,0,42.66,335
77,0,43,16
76,1,44.59,164
57,1,45.55,157
37,2,43.34,224
33,5,43.02,228
31,4,43.15,222
26,5,38.62,220
25,5,40.19,227
27,5,41.31,189
29,5,42.29,207
30,3,40.55,218
34,4,42.03,215
41,4,45.13,226
43,2,43.66,234
48,2,42.88,206
54,2,43.19,207
60,0,44.08,178
67,0,44.15,338
74,0,44.86,203
73,1,43.53,174
75,0,44.24,10
73,1,44.49,160
72,2,45.09,215
76,1,46.53,215
76,0,47.5,161
60,1,45.97,211
48,2,42.88,327
49,3,46.19,223
48,3,45.64,199
44,5,45.18,221
48,5,45.64,239
45,4,44.86,219
40,3,44.48,230
35,4,41,228
33,4,35.95,212
37,5,37.07,224
49,3,42.5,209
57,4,43.67,236
62,4,44,232
67,2,45.1,215
70,3,45.31,216
74,2,45.82,211
79,0,45.62,223
80,0,45.96,218
80,0,44.98,242
84,0,45.3,156
89,0,43.89,177
91,0,42.5,178
93,1,43.07,186
76,2,39.75,170
61,4,40.73,156
50,5.99,40.25,222
39,5.99,37.52,217
31,5,36.13,227
31,5.99,36.13,215
29,4,36.2,223
32,5,37.82,209
32,5.99,35.18,211
27,5,30.08,216
26,5,27.43,244
27,3,25.76,212
30,4,26.56,221
35,1,27.66,211
52,0,30.12,31
57,0,30.53,11
61,0,31.27,211
66,0,31.34,218
69,0,31.5,339
71,0,31.25,206
75,0,30.69,186
78,0,30.7,217
78,1,31.67,176
69,1,32.45,171
46,3,31.69,165
30,4,29.19,228
26,4,30.02,208
24,4,31.47,219
23,4,32.13,223
24,4,33.18,226
27,4,34.4,237
29,4,33.58,238
29,4,32.71,211
28,3,30.11,222
29,4,29.23,220
39,2,30.32,218
46,1,30.77,248
53,0,31.52,8
58,0,30.96,244
62,0,30.73,203
66,0,30.39,226
69,0,30.54,220
73,0,30.98,219
75,0,30.69,240
76,0,30.05,219
77,0,30.38,30
67,2,31.72,164
41,3,27.94,163
25,3,26.49,201
21,5,26.53,238
20,5,29.54,224
19,5.99,29.12,221
19,5.99,29.95,219
24,4,34.89,218
25,5,34.2,210
24,4,32.33,208
24,3,31.47,221
25,3,29.91,246
34,0,33.16,223
44,0,35.14,245
50,0,34.7,9
54,0,34.79,211
59,0,34.21,226
64,0,35.33,347
67,0,35.54,334
69,0,35.33,237
70,1,34.74,222
72,0,34.49,235
74,0,34.22,221
74,0,35.19,218
62,1,35.47,206
44,2,36.06,174
25,3,31.63,178
16,3,28.25,205
12,5,24.59,216
13,5,27.29,184
15,4,31.56,214
15,3,30.75,220
16,3,29.88,218
16,4,29.07,216
17,4,28.9,224
20,3,30.37,218
27,3,33.54,227
34,2,34.93,242
43,0,36.38,224
48,0,36.43,232
53,0,36.18,343
55,0,36.19,235
58,0,35.66,221
61,0,36,22
63,0,34.93,297
65,0,34.77,214
69,0,35.33,167
69,1,36.29,227
66,1,40.89,164
47,3,39.57,155
28,2,34.44,147
20,5,33.72,229
17,5.99,30.54,229
19,5,36.6,220
18,5.99,36.08,220
18,4,35.25,216
20,4,36.22,230
22,5,36.94,212
24,5.99,36.59,207
28,4,38.78,227
34,3,40.25,220
43,2,40.93,185
49,0,41.58,237
55,0,40.86,175
59,0,40.81,175
63,0,40.63,185
66,1,39.93,352
68,0,39.75,327
69,0,40.13,225
71,0,39.91,186
70,0,39.54,162
73,0,40.63,177
73,0,43.53,164
51,2,41.69,154
33,3,39.49,162
26,5,39.48,221
25,5,41.05,222
23,5,39.77,231
23,5,39.77,205
25,5,40.19,226
31,5.99,43.15,226
33,5,42.14,228
37,4,43.34,222
42,4,44.86,219
46,3,45.44,218
54,1,45.99,204
62,0,45.9,12
67,0,46.06,217
71,0,45.68,216
75,0,45.21,221
79,0,45.62,216
81,0,45.31,171
80,0,45.96,165
76,0,45.56,172
75,0,45.21,165
73,0,45.46,166
68,0,47.41,161
62,0,46.84,116
47,2,45.09,216
46,3,47.27,210
49,3,48.04,243
51,3,49.11,231
53,4,48.28,213
49,2,48.04,210
50,4,48.58,212
50,4,47.65,217
49,3,46.19,232
52,2,45.92,219
59,0,48.35,218
63,1,48.22,211
63,0,47.27,176
69,0,46.84,175
69,1,46.84,167
70,0,47.23,168
71,1,47.61,176
73,1,47.39,184
74,0,47.76,190
76,0,48.47,129
84,0,50.21,174
84,0,51.19,181
78,0,52.09,159
71,0,51.46,221
58,2,50.72,225
60,2,51.64,193
51,3,51.89,221
50,4,51.35,208
67,3,52.75,208
75,1,55.86,226
65,2,54.78,338
67,2,54.66,330
76,1,55.26,21
82,0,54.44,20
86,0,53.8,9
88,0,52.46,12
92,0,51.7,340
94,0,51.3,350
93,0,49.03,334
96,0,48.89,4
96,0,46.9,337
94,0,45.34,347
92,0,43.78,333
91,0,41.51,332
90,0,41.22,339
68,1,37.83,164
44,3,34.23,162
30,2,33.56,173
29,3,41.42,218
22,4,38.63,223
23,5,41.46,219
25,4,44.48,215
26,5,44.64,223
32,5,47.5,207
34,5.99,48.23,210
33,5,45.67,230
33,3,43.02,223
45,0,45.77,214
55,0,46.47,349
62,0,45.9,354
68,0,46.45,167
72,0,46.06,173
76,0,45.56,344
81,0,45.31,227
79,0,43.68,345
76,1,41.69,226
71,0,38.95,351
70,0,37.62,246
68,0,36.88,221
60,1,37.47,176
37,2,33.49,162
22,4,31.03,242
18,2,31.12,78
17,5,33.83,224
21,5.99,40.82,208
20,5.99,40.4,224
20,5.99,40.4,249
25,5.99,44.48,219
26,5,43.78,223
